origen,destino,peso
Conservador de Bienes Raíces,Gustavo Benavente,1
Conservador de Bienes Raíces,Isabel Allende,1
Conservador de Bienes Raíces,Luis Cordero,1
Conservador de Bienes Raíces,Mandatario,1
Conservador de Bienes Raíces,Marcela Sandoval,1
Conservador de Bienes Raíces,Maya Fernández,1
Conservador de Bienes Raíces,"PS).""Durante",1
Conservador de Bienes Raíces,Partido Republicano,1
Conservador de Bienes Raíces,Patricio Aylwin,1
Conservador de Bienes Raíces,Presidente,1
Conservador de Bienes Raíces,Presidente Boric,1
Conservador de Bienes Raíces,Presupuesto,1
Conservador de Bienes Raíces,Radio Duna,1
Conservador de Bienes Raíces,Salvador Allende,1
Conservador de Bienes Raíces,Segegob,1
Conservador de Bienes Raíces,Ximena Ossandón,1
Constitución,Estado,5
Constitución,Esteban Velásquez,1
Constitución,Etcheverry,2
Constitución,Gustavo Benavente,2
Constitución,Luis Cordero,1
Constitución,"PS).""Durante",1
Constitución,Patricio Aylwin,2
Constitución,Presupuesto,1
Constitución,Radio Duna,1
Constitución,Segegob,1
Contraloría,Contraloría General de la República,3
Contraloría,Esteban Velásquez,1
Contraloría,Etcheverry,2
Contraloría,Fernández,2
Contraloría,Gabriel Boric,4
Contraloría,Gustavo Benavente,1
Contraloría,Luis Cordero,1
Contraloría,Mandatario,3
Contraloría,"PS).""Durante",1
Contraloría,Partido Republicano,3
Contraloría,Patricio Aylwin,1
Contraloría,Presidente,7
Contraloría,Presidente Boric,2
Contraloría,Presupuesto,2
Contraloría,Radio Duna,1
Contraloría,Segegob,1
Contraloría,Ximena Ossandón,1
Contraloría General de la República,Estado,1
Contraloría General de la República,Esteban Velásquez,1
Contraloría General de la República,Etcheverry,1
Contraloría General de la República,Fernández,1
Contraloría General de la República,Gabriel Boric,1
Contraloría General de la República,Gustavo Benavente,1
Contraloría General de la República,Isabel Allende,1
Contraloría General de la República,Luis Cordero,1
Contraloría General de la República,Mandatario,1
Contraloría General de la República,Marcela Sandoval,1
Contraloría General de la República,Maya Fernández,1
Contraloría General de la República,"PS).""Durante",1
Contraloría General de la República,Partido Republicano,2
Contraloría General de la República,Patricio Aylwin,1
Contraloría General de la República,Presidente,1
Contraloría General de la República,Presidente Boric,1
Contraloría General de la República,Presupuesto,1
Contraloría General de la República,Radio Duna,1
Contraloría General de la República,Segegob,1
Contraloría General de la República,Ximena Ossandón,1
Estado,Esteban Velásquez,1
Estado,Etcheverry,3
Estado,Fernández,6
Estado,Gustavo Benavente,1
Estado,Isabel Allende,7
Estado,Luis Cordero,1
Estado,"PS).""Durante",1
Estado,Partido Republicano,2
Estado,Patricio Aylwin,1
Estado,Presidente Boric,1
Estado,Presupuesto,1
Estado,Radio Duna,1
Estado,Segegob,1
Estado,Ximena Ossandón,1
Esteban Velásquez,Etcheverry,1
Esteban Velásquez,Fernández,1
Esteban Velásquez,Gabriel Boric,1
Esteban Velásquez,Gustavo Benavente,1
Esteban Velásquez,Isabel Allende,1
Esteban Velásquez,Luis Cordero,1
Esteban Velásquez,Mandatario,1
Esteban Velásquez,Marcela Sandoval,1
Esteban Velásquez,Maya Fernández,1
Esteban Velásquez,"PS).""Durante",1
Esteban Velásquez,Partido Republicano,1
Esteban Velásquez,Patricio Aylwin,1
Esteban Velásquez,Presidente,1
Esteban Velásquez,Presidente Boric,1
Esteban Velásquez,Presupuesto,1
Esteban Velásquez,Radio Duna,1
Esteban Velásquez,Salvador Allende,1
Esteban Velásquez,Segegob,1
Esteban Velásquez,Ximena Ossandón,1
Etcheverry,Fernández,2
Etcheverry,Gabriel Boric,3
Etcheverry,Gustavo Benavente,1
Etcheverry,Isabel Allende,2
Etcheverry,Luis Cordero,1
Etcheverry,Mandatario,3
Etcheverry,Marcela Sandoval,1
Etcheverry,Maya Fernández,4
Etcheverry,"PS).""Durante",1
Etcheverry,Partido Republicano,1
Etcheverry,Patricio Aylwin,1
Etcheverry,Presidente,5
Etcheverry,Presidente Boric,2
Etcheverry,Presupuesto,1
Etcheverry,Radio Duna,1
Etcheverry,Salvador Allende,3
Etcheverry,Segegob,1
Etcheverry,Ximena Ossandón,1
Fernández,Gustavo Benavente,2
Fernández,Luis Cordero,1
Fernández,"PS).""Durante",1
Fernández,Partido Republicano,7
Fernández,Patricio Aylwin,1
Fernández,Presidente,17
Fernández,Presupuesto,1
Fernández,Radio Duna,1
